"CLIENT_ISO_CODE","CITY","ZIPCODE","LONGITUDE","LATITUDE","id_cp"
"US","MOUNT PROSPECT","60056",-87.9377,42.0624,1252561
"US","Houston","77054",-95.4017,29.6852,1252562
"PH","Cagayan De Oro","9000",124.6472,8.4822,1252563
"GB","Glasgow","G13 2YQ",-4.3385,55.8927,1252564
"PT","VILA FRANCA DE XIRA","2600-041",-8.9897,38.9552,1252565
"GB","swadlincote","DE11 8DY",-1.5369,52.7624,1252566
"GB","ISLE OF MAN","IM2 6AL",-4.4833,54.15,1252567
"PL","Jastrowie","64-915",16.6063,53.4702,1252568
"AU","Cheltenham","3192",145.0657,-37.9635,1252569
"PL","Kraków","30-670",19.9847,50.018,1252570
"FR","SCHWEIGHOUSE SUR MODER","67590",7.7281,48.8201,1252571
"NL","Hendrik-Ido-Ambacht","3341 EA",4.6444,51.8492,1252572
"GB","London","SW16 6AZ",-0.1361,51.4236,1252573
"PL","Warszawa","02-645",21.0082,52.1932,1252574
"GB","London","SW12 9PH",-0.1471,51.4469,1252575
"IT","Grottaferrata","00046",12.6714,41.7866,1252576
"NL","Zwanenburg","1161 sw",4.7548,52.3746,1252577
"CA","Dégelis","G5T1M8",-68.6435,47.5458,1252578
"US","Fort Mill","29708",-80.9908,35.0502,1252579
"GB","Walsall","WS3 4QL",-1.9703,52.6223,1252580
"PL","Krzemieniewo","64-120",16.8403,51.8642,1252581
"DE","Magdeburg","39106",11.6498,52.1469,1252582
"RO","București","061116",26.0174,44.4378,1252583
"IT","Roma","00141",12.5113,41.8919,1252584
"PL","Nochowo","63-100",16.9482,52.0501,1252585
"ES","El Guijo","14413",-4.7588,38.5251,1252586
"FR","orly","94310",2.3925,48.7479,1252587
"GB","Great Yarmouth","NR31 8JN",1.7066,52.5816,1252588
"PL","RZESZÓW","35083",21.9593,50.0064,1252589
"FR","Montpeyroux","12210",2.8188,44.7546,1252590
"NL","Utrecht","3551 CJ",5.0955,52.1035,1252591
"GB","GLASGOW","G78 2FG",-4.3712,55.794,1252592
"RO","Roman","611151",26.9265,46.9212,1252593
"GB","Chorley","PR6 7HJ",-2.6325,53.6784,1252594
"IT","Cameri","28062",8.6624,45.5016,1252595
"PL","Masłów","26-001",20.8053,50.9146,1252596
"TR","Manisa","45170",28.6833,38.6167,1252597
"GB","West Wickham","BR4 0NJ",-0.0161,51.3761,1252598
"CA","Gatineau","J9J0W5",-75.8481,45.4512,1252599
"DE","KIRCHHAIN","35274",8.9281,50.8272,1252600
"CA","Surrey","V3X1T9",-122.8736,49.1174,1252601
"GB","Isleworth","TW7 4BX",-0.3379,51.475,1252602
"BE","TURNHOUT","2300",4.9447,51.3225,1252603
"BE","ANTWERPEN","2140",4.4354,51.2096,1252604
"NO","FORNEBU","1364",10.619,59.8927,1252605
"CA","LAVAL","H7P4S8",-73.811,45.5844,1252606
"GB","Batley","WF17 6BX",-1.6318,53.7019,1252607
"FR","Peymeinade","06530",6.8758,43.6424,1252608
"RO","Rm Valcea","240560",24.3667,45.1,1252609
"DE","Straßenhaus","56587",7.5224,50.5559,1252610
"NL","Leiden","2312 st",4.4987,52.1572,1252611
"HU","Budapest","1121",19.0404,47.4984,1252612
"CA","Vaughan","L4J9C8",-79.4663,43.8439,1252613
"IE","Dublin 3","D03 EN24",-6.2378,53.3645,1252614
"CA","Ottawa","K1H8M1",-75.6492,45.3807,1252615
"FR","Lagamas","34150",3.4854,43.7109,1252616
"GB","Portsmouth","PO2 7EY",-1.0802,50.8111,1252617
"ES","Sant Cugat del Vallès","08195",2.0494,41.4706,1252618
"DE","Bietenhausen/Rangendingen","72414",8.8894,48.3817,1252619
"US","FRESNO","93720",-119.7655,36.8579,1252620
"ES","Ferrol","15403",-8.224,43.4831,1252621
"ES","CAMBRILS","43850",1.0594,41.0668,1252622
"IN","Mansa","151505",75.388,30.2774,1252623
"RO","Târgu Mureș","540457",24.5575,46.5425,1252624
"IN","Hyderabad","500017",78.5406,17.4381,1252625
"GB","BIRMINGHAM","B42 1QX",-1.9217,52.5308,1252626
"PT","Santa Maria da Feira","4520-176",-8.5484,40.9273,1252627
"CA","Lake Country","V4V1L1",-119.4086,50.0269,1252628
"ES","MURCIA","30012",-1.1233,37.9652,1252629
"ZA","KRUGERSDORP","1739",27.7667,-26.1,1252630
"US","Tucson","85750",-110.8404,32.2974,1252631
"FR","Remoulins","30210",4.6012,43.9288,1252632
"GB","Liverpool","L25 4TG",-2.879,53.3868,1252633
"MX","Tenancingo de Degollado","52400",-99.5692,18.967,1252634
"PT","Caldelas","4805-096",-8.3485,41.4846,1252635
"FR","Bouray-sur-Juine","91850",2.3,48.5198,1252636
"GB","HAVANT","PO9 4AU",-1.0044,50.867,1252637
"FR","Soulac sur mer","33780",-1.1252,45.5107,1252638
"SE","Örebr","70342",15.2066,59.2741,1252639
"US","Fairfax station","22039",-77.3064,38.7602,1252640
"NL","Harlingen","8862 DG",5.4406,53.1607,1252641
"US","Bamberg","29003",-81.0177,33.2779,1252642
